"No.","Time","Source","Destination","Protocol","Length","Info"
"1049","31.342608","100.81.191.105","172.64.150.28","QUIC","143","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"1050","31.361351","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1051","31.361352","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1052","31.361352","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1053","31.428461","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"1054","31.428463","172.64.150.28","100.81.191.105","QUIC","1119","Protected Payload (KP0)"
"1055","31.433751","100.81.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"1056","31.566398","100.81.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"1057","31.584708","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1058","31.789145","100.81.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"1059","31.807044","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1060","32.009419","100.81.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"1061","32.027272","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1062","32.229970","100.81.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01d117623d73ec3a2fd39d62da73e7cc7e63ff11"
"1063","32.248128","172.64.150.28","100.81.191.105","QUIC","67","Protected Payload (KP0)"
"1064","32.341217","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
"1065","32.341219","172.64.150.28","100.81.191.105","QUIC","1242","Protected Payload (KP0)"
