"No.","Time","Source","Destination","Protocol","Length","Info"
"4669","120.691992","10.2.13.112","54.159.176.36","TCP","1514","56343  >  443 [ACK] Seq=284897 Ack=658811 Win=729088 Len=1448 TSval=3974309742 TSecr=3156989229 [TCP segment of a reassembled PDU]"
"4670","120.691993","10.2.13.112","54.159.176.36","TCP","1514","56343  >  443 [ACK] Seq=286345 Ack=658811 Win=729088 Len=1448 TSval=3974309742 TSecr=3156989229 [TCP segment of a reassembled PDU]"
"4671","120.692001","10.2.13.112","54.159.176.36","TLSv1.2","357","Application Data"
"4672","120.692291","54.159.176.36","10.2.13.112","TCP","1514","443  >  56312 [ACK] Seq=354900 Ack=381710 Win=314112 Len=1448 TSval=3156989230 TSecr=3554013106 [TCP segment of a reassembled PDU]"
"4673","120.692291","54.159.176.36","10.2.13.112","TCP","1514","443  >  56344 [ACK] Seq=316300 Ack=367487 Win=449024 Len=1448 TSval=3156989230 TSecr=2807009117 [TCP segment of a reassembled PDU]"
"4674","120.692292","54.159.176.36","10.2.13.112","TLSv1.2","179","Application Data"
"4675","120.692293","54.159.176.36","10.2.13.112","TLSv1.2","190","Application Data"
"4676","120.692293","54.159.176.36","10.2.13.112","TCP","1514","443  >  56338 [ACK] Seq=168220 Ack=271640 Win=457472 Len=1448 TSval=3156989231 TSecr=3494448456 [TCP segment of a reassembled PDU]"
"4677","120.692294","54.159.176.36","10.2.13.112","TLSv1.2","178","Application Data"
"4678","120.692340","10.2.13.112","54.159.176.36","TCP","66","56312  >  443 [ACK] Seq=381710 Ack=356461 Win=129472 Len=0 TSval=3554013141 TSecr=3156989230"
"4679","120.692361","10.2.13.112","54.159.176.36","TCP","66","56344  >  443 [ACK] Seq=367487 Ack=317872 Win=161344 Len=0 TSval=2807009153 TSecr=3156989230"
"4680","120.692381","10.2.13.112","54.159.176.36","TCP","66","56338  >  443 [ACK] Seq=271640 Ack=169780 Win=129472 Len=0 TSval=3494448492 TSecr=3156989231"
