"No.","Time","Source","Destination","Protocol","Length","Info"
"808","15.635882","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"809","15.635883","172.64.150.28","100.65.191.105","QUIC","775","Protected Payload (KP0)"
"810","15.639796","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"811","15.650069","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"812","15.650071","172.64.150.28","100.65.191.105","QUIC","775","Protected Payload (KP0)"
"813","15.655724","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"814","15.663382","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"815","15.663388","172.64.150.28","100.65.191.105","QUIC","775","Protected Payload (KP0)"
"816","15.668241","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"817","15.680060","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"818","15.681072","172.64.150.28","100.65.191.105","QUIC","775","Protected Payload (KP0)"
"819","15.684757","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"820","15.698495","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"821","15.698497","172.64.150.28","100.65.191.105","QUIC","775","Protected Payload (KP0)"
"822","15.704153","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"823","15.712894","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"824","15.712897","172.64.150.28","100.65.191.105","QUIC","776","Protected Payload (KP0)"
"825","15.718573","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"826","15.730163","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"827","15.730166","172.64.150.28","100.65.191.105","QUIC","776","Protected Payload (KP0)"
"828","15.735788","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"829","15.742666","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"830","15.742668","172.64.150.28","100.65.191.105","QUIC","776","Protected Payload (KP0)"
"831","15.748292","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"832","15.759402","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"833","15.759403","172.64.150.28","100.65.191.105","QUIC","808","Protected Payload (KP0)"
"834","15.765015","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"835","15.774268","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"836","15.774271","172.64.150.28","100.65.191.105","QUIC","808","Protected Payload (KP0)"
"837","15.779915","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"838","15.779987","100.65.191.105","172.64.150.28","QUIC","83","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"839","15.869695","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"840","15.869698","172.64.150.28","100.65.191.105","QUIC","77","Protected Payload (KP0)"
"841","15.869699","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"842","15.869700","172.64.150.28","100.65.191.105","QUIC","808","Protected Payload (KP0)"
"843","15.869701","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"844","15.869702","172.64.150.28","100.65.191.105","QUIC","808","Protected Payload (KP0)"
"845","15.869704","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"846","15.871610","172.64.150.28","100.65.191.105","QUIC","840","Protected Payload (KP0)"
"847","15.871611","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"848","15.871612","172.64.150.28","100.65.191.105","QUIC","841","Protected Payload (KP0)"
"849","15.871613","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"850","15.871614","172.64.150.28","100.65.191.105","QUIC","841","Protected Payload (KP0)"
"851","15.871793","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"852","15.874821","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"853","15.874822","172.64.150.28","100.65.191.105","QUIC","841","Protected Payload (KP0)"
"854","15.877279","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"855","15.886715","172.64.150.28","100.65.191.105","QUIC","67","Protected Payload (KP0)"
"856","15.893010","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"857","15.893012","172.64.150.28","100.65.191.105","QUIC","841","Protected Payload (KP0)"
"858","15.898653","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"859","15.945687","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"860","15.945689","172.64.150.28","100.65.191.105","QUIC","841","Protected Payload (KP0)"
"861","15.945690","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"862","15.946749","172.64.150.28","100.65.191.105","QUIC","830","Protected Payload (KP0)"
"863","15.948573","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"864","15.948574","172.64.150.28","100.65.191.105","QUIC","873","Protected Payload (KP0)"
"865","15.950581","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"866","15.987896","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"867","15.987898","172.64.150.28","100.65.191.105","QUIC","873","Protected Payload (KP0)"
"868","15.993548","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"869","15.995241","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"870","15.995958","172.64.150.28","100.65.191.105","QUIC","873","Protected Payload (KP0)"
