,param_activation,param_solver,param_alpha,param_hidden_layer_sizes,mean_test_score,std_test_score,rank_test_score
646,tanh,lbfgs,1,20,0.937614949,0.00349167,1
643,tanh,lbfgs,1,19,0.936143603,0.001040398,2
832,tanh,lbfgs,1.00E-07,19,0.935873857,0.001892204,3
376,logistic,lbfgs,0.1,20,0.935726722,0.004016142,4
640,tanh,lbfgs,1,18,0.935285318,0.000481789,5
361,logistic,lbfgs,0.1,15,0.935187229,0.003197145,6
634,tanh,lbfgs,1,16,0.934132764,0.001319206,7
670,tanh,lbfgs,0.1,19,0.93378945,0.001010491,8
778,tanh,lbfgs,1.00E-05,19,0.933299002,0.001807354,9
367,logistic,lbfgs,0.1,17,0.932808553,0.002451261,10
364,logistic,lbfgs,0.1,16,0.932563329,0.003844941,11
637,tanh,lbfgs,1,17,0.932097403,0.002832101,12
661,tanh,lbfgs,0.1,16,0.931778612,0.001992513,13
631,tanh,lbfgs,1,15,0.931754089,0.001639889,14
751,tanh,lbfgs,0.0001,19,0.930160131,0.006114302,15
724,tanh,lbfgs,0.001,19,0.929890385,0.005908327,16
346,logistic,lbfgs,1,19,0.929252802,0.002434275,17
622,tanh,lbfgs,1,12,0.929252802,0.002200743,17
667,tanh,lbfgs,0.1,18,0.927953113,0.00787189,19
859,tanh,lbfgs,1.00E-08,19,0.927364575,0.010769394,20
373,logistic,lbfgs,0.1,19,0.925500871,0.005286048,21
886,tanh,lbfgs,1.00E-09,19,0.925451826,0.011244863,22
805,tanh,lbfgs,1.00E-06,19,0.925255646,0.005348026,23
337,logistic,lbfgs,1,16,0.92336742,0.003792027,24
349,logistic,lbfgs,1,20,0.923122195,0.002972579,25
628,tanh,lbfgs,1,14,0.923048628,0.005562322,26
673,tanh,lbfgs,0.1,20,0.922533657,0.001467663,27
967,relu,lbfgs,0.1,19,0.921601805,0.007391549,28
694,tanh,lbfgs,0.01,18,0.920792565,0.002497919,29
862,tanh,lbfgs,1.00E-08,20,0.920449251,0.00346331,30
697,tanh,lbfgs,0.01,19,0.919885235,0.008183071,31
721,tanh,lbfgs,0.001,18,0.9197381,0.001748158,32
775,tanh,lbfgs,1.00E-05,18,0.919713578,0.002065423,33
340,logistic,lbfgs,1,17,0.919689056,0.002827851,34
802,tanh,lbfgs,1.00E-06,18,0.919443831,0.00261207,35
664,tanh,lbfgs,0.1,17,0.919419309,0.00795215,36
748,tanh,lbfgs,0.0001,18,0.919394787,0.002261388,37
889,tanh,lbfgs,1.00E-09,20,0.919345742,0.002377284,38
358,logistic,lbfgs,0.1,14,0.919296697,0.019342552,39
808,tanh,lbfgs,1.00E-06,20,0.919198607,0.004102361,40
754,tanh,lbfgs,0.0001,20,0.918708159,0.002088585,41
835,tanh,lbfgs,1.00E-07,20,0.918021531,0.001328744,42
700,tanh,lbfgs,0.01,20,0.917972486,0.001456558,43
829,tanh,lbfgs,1.00E-07,18,0.917702739,0.004927848,44
388,logistic,lbfgs,0.01,15,0.917580127,0.014368216,45
394,logistic,lbfgs,0.01,17,0.91750656,0.004839189,46
994,relu,lbfgs,0.01,19,0.917359425,0.002884071,47
781,tanh,lbfgs,1.00E-05,20,0.917285858,0.001997938,48
727,tanh,lbfgs,0.001,20,0.916672797,0.001027018,49
856,tanh,lbfgs,1.00E-08,18,0.916476618,0.007374444,50
883,tanh,lbfgs,1.00E-09,18,0.915814512,0.006155764,51
343,logistic,lbfgs,1,18,0.915716423,0.011955431,52
370,logistic,lbfgs,0.1,18,0.915152407,0.001124294,53
331,logistic,lbfgs,1,14,0.914711003,0.006639104,54
556,logistic,lbfgs,1.00E-08,17,0.914416734,0.012385743,55
592,logistic,lbfgs,1.00E-09,20,0.913705584,0.009297654,56
421,logistic,lbfgs,0.001,17,0.913509404,0.002733123,57
475,logistic,lbfgs,1.00E-05,17,0.91336227,0.011611259,58
655,tanh,lbfgs,0.1,14,0.912602075,0.003067558,59
583,logistic,lbfgs,1.00E-09,17,0.911964492,0.008888424,60
529,logistic,lbfgs,1.00E-07,17,0.911400476,0.008883145,61
496,logistic,lbfgs,1.00E-06,15,0.910615758,0.018489942,62
403,logistic,lbfgs,0.01,20,0.910223399,0.018402835,63
502,logistic,lbfgs,1.00E-06,17,0.909561294,0.006379979,64
448,logistic,lbfgs,0.0001,17,0.909389637,0.006394948,65
334,logistic,lbfgs,1,15,0.90931607,0.012960699,66
400,logistic,lbfgs,0.01,19,0.908825621,0.026115474,67
625,tanh,lbfgs,1,13,0.908825621,0.005557563,67
943,relu,lbfgs,1,20,0.908653964,0.017733767,69
940,relu,lbfgs,1,19,0.908335173,0.029316537,70
1102,relu,lbfgs,1.00E-06,19,0.908016381,0.011179053,71
658,tanh,lbfgs,0.1,15,0.907280708,0.00985112,72
1048,relu,lbfgs,0.0001,19,0.907158096,0.007498331,73
481,logistic,lbfgs,1.00E-05,19,0.906863827,0.007315661,74
685,tanh,lbfgs,0.01,15,0.906177199,0.002782188,75
682,tanh,lbfgs,0.01,14,0.90588293,0.002544431,76
442,logistic,lbfgs,0.0001,15,0.905000123,0.020666106,77
550,logistic,lbfgs,1.00E-08,15,0.904730376,0.010241101,78
1129,relu,lbfgs,1.00E-07,19,0.904632286,0.001362264,79
415,logistic,lbfgs,0.001,15,0.903553299,0.024898149,80
1156,relu,lbfgs,1.00E-08,19,0.903553299,0.002553396,80
427,logistic,lbfgs,0.001,19,0.90335712,0.012254983,82
352,logistic,lbfgs,0.1,12,0.903185463,0.008583339,83
511,logistic,lbfgs,1.00E-06,20,0.903136418,0.011229611,84
325,logistic,lbfgs,1,12,0.902376223,0.011139715,85
1183,relu,lbfgs,1.00E-09,19,0.901272714,0.003672965,86
1075,relu,lbfgs,1.00E-05,19,0.901199147,0.004231664,87
718,tanh,lbfgs,0.001,17,0.900904878,0.011320918,88
457,logistic,lbfgs,0.0001,20,0.90002207,0.013575638,89
691,tanh,lbfgs,0.01,17,0.899874936,0.014014647,90
577,logistic,lbfgs,1.00E-09,15,0.899654234,0.01787377,91
469,logistic,lbfgs,1.00E-05,15,0.899482577,0.016719296,92
1015,relu,lbfgs,0.001,17,0.898599769,0.021749747,93
880,tanh,lbfgs,1.00E-09,17,0.898231933,0.02128442,94
922,relu,lbfgs,1,13,0.898182888,0.019955681,95
925,relu,lbfgs,1,14,0.897618872,0.017090248,96
1134,relu,adam,1.00E-08,12,0.897618872,0.012699302,96
430,logistic,lbfgs,0.001,20,0.897520783,0.010465705,98
565,logistic,lbfgs,1.00E-08,20,0.897398171,0.014993333,99
1080,relu,adam,1.00E-06,12,0.896956767,0.010243977,100
1123,relu,lbfgs,1.00E-07,17,0.896637975,0.024511339,101
619,tanh,lbfgs,10,20,0.896490841,0.008173807,102
328,logistic,lbfgs,1,13,0.896343706,0.015772019,103
535,logistic,lbfgs,1.00E-07,19,0.896172049,0.011505592,104
901,relu,lbfgs,10,15,0.895706123,0.018362402,105
1171,relu,lbfgs,1.00E-09,15,0.895093063,0.019622569,106
1026,relu,adam,0.0001,12,0.895019495,0.017255565,107
523,logistic,lbfgs,1.00E-07,15,0.894063121,0.01680697,108
972,relu,adam,0.01,12,0.893229358,0.008343609,109
1150,relu,lbfgs,1.00E-08,17,0.893106746,0.033531833,110
688,tanh,lbfgs,0.01,16,0.892984134,0.023441105,111
607,tanh,lbfgs,10,16,0.892763432,0.008185349,112
490,logistic,lbfgs,1.00E-06,13,0.892150372,0.012614589,113
1053,relu,adam,1.00E-05,12,0.891782535,0.005900077,114
454,logistic,lbfgs,0.0001,19,0.891659923,0.009931371,115
853,tanh,lbfgs,1.00E-08,17,0.891659923,0.021380152,115
589,logistic,lbfgs,1.00E-09,19,0.891316609,0.010617049,117
562,logistic,lbfgs,1.00E-08,19,0.890335712,0.009424527,118
1177,relu,lbfgs,1.00E-09,17,0.890335712,0.027376145,118
1185,relu,adam,1.00E-09,20,0.890188577,0.002866503,120
913,relu,lbfgs,10,19,0.89011501,0.002049641,121
898,relu,lbfgs,10,14,0.889575517,0.00658773,122
558,logistic,adam,1.00E-08,18,0.88920768,0.004575782,123
585,logistic,adam,1.00E-09,18,0.88920768,0.004575782,123
604,tanh,lbfgs,10,15,0.889109591,0.002600534,125
1186,relu,lbfgs,1.00E-09,20,0.889036023,0.01390069,126
417,logistic,adam,0.001,16,0.889011501,0.003192816,127
1107,relu,adam,1.00E-07,12,0.888937934,0.011618093,128
610,tanh,lbfgs,10,17,0.888888889,0.00331697,129
846,tanh,adam,1.00E-08,15,0.888790799,0.005027157,130
873,tanh,adam,1.00E-09,15,0.888790799,0.005027157,130
616,tanh,lbfgs,10,19,0.888692709,0.001985862,132
1023,relu,adam,0.001,20,0.88859462,0.0022032,133
561,logistic,adam,1.00E-08,19,0.88839844,0.001407425,134
588,logistic,adam,1.00E-09,19,0.88839844,0.001407425,134
792,tanh,adam,1.00E-06,15,0.888373918,0.00554196,136
534,logistic,adam,1.00E-07,19,0.888349396,0.001378064,137
819,tanh,adam,1.00E-07,15,0.888349396,0.005509966,137
807,tanh,adam,1.00E-06,20,0.888275828,0.003317514,139
834,tanh,adam,1.00E-07,20,0.888275828,0.003317514,139
861,tanh,adam,1.00E-08,20,0.888275828,0.003317514,139
888,tanh,adam,1.00E-09,20,0.888275828,0.003317514,139
504,logistic,adam,1.00E-06,18,0.888251306,0.003549573,143
531,logistic,adam,1.00E-07,18,0.888251306,0.003534804,143
1077,relu,adam,1.00E-05,20,0.888251306,0.002198008,143
1158,relu,adam,1.00E-08,20,0.888251306,0.002149877,143
498,logistic,adam,1.00E-06,16,0.888202261,0.002982475,147
780,tanh,adam,1.00E-05,20,0.888202261,0.003279777,147
507,logistic,adam,1.00E-06,19,0.888177739,0.001416369,149
753,tanh,adam,0.0001,20,0.888177739,0.003247532,149
1051,relu,lbfgs,0.0001,20,0.888177739,0.017833453,149
552,logistic,adam,1.00E-08,16,0.888104171,0.002974399,152
579,logistic,adam,1.00E-09,16,0.888104171,0.002974399,152
525,logistic,adam,1.00E-07,16,0.888055126,0.002953298,154
765,tanh,adam,1.00E-05,15,0.888055126,0.005846735,154
999,relu,adam,0.001,12,0.888030604,0.004280832,156
408,logistic,adam,0.001,13,0.887932514,0.001911177,157
828,tanh,adam,1.00E-07,18,0.887932514,0.002643194,157
855,tanh,adam,1.00E-08,18,0.887932514,0.002643194,157
882,tanh,adam,1.00E-09,18,0.887932514,0.002643194,157
613,tanh,lbfgs,10,18,0.887907992,0.002802217,161
801,tanh,adam,1.00E-06,18,0.887907992,0.002612991,161
739,tanh,lbfgs,0.0001,15,0.887858947,0.031514304,163
538,logistic,lbfgs,1.00E-07,20,0.887834425,0.006819527,164
774,tanh,adam,1.00E-05,18,0.887834425,0.002703257,164
444,logistic,adam,0.0001,16,0.887809902,0.002124554,166
720,tanh,adam,0.001,18,0.88778538,0.002615751,167
747,tanh,adam,0.0001,18,0.88778538,0.002615751,167
420,logistic,adam,0.001,17,0.88768729,0.003199589,169
744,tanh,adam,0.0001,17,0.887638245,0.002565613,170
771,tanh,adam,1.00E-05,17,0.887613723,0.002590803,171
798,tanh,adam,1.00E-06,17,0.8875892,0.002616211,172
825,tanh,adam,1.00E-07,17,0.8875892,0.002616211,172
852,tanh,adam,1.00E-08,17,0.8875892,0.002616211,172
879,tanh,adam,1.00E-09,17,0.8875892,0.002616211,172
772,tanh,lbfgs,1.00E-05,17,0.887564678,0.013101632,176
501,logistic,adam,1.00E-06,17,0.887540155,0.004063922,177
582,logistic,adam,1.00E-09,17,0.887515633,0.003852285,178
777,tanh,adam,1.00E-05,19,0.887515633,0.00173261,178
804,tanh,adam,1.00E-06,19,0.887515633,0.00173261,178
1096,relu,lbfgs,1.00E-06,17,0.887515633,0.030067574,178
555,logistic,adam,1.00E-08,17,0.887491111,0.003818576,182
831,tanh,adam,1.00E-07,19,0.887491111,0.001765955,182
858,tanh,adam,1.00E-08,19,0.887491111,0.001765955,182
885,tanh,adam,1.00E-09,19,0.887491111,0.001765955,182
750,tanh,adam,0.0001,19,0.887442066,0.001703206,186
726,tanh,adam,0.001,20,0.887417543,0.003544148,187
480,logistic,adam,1.00E-05,19,0.887368498,0.000888917,188
723,tanh,adam,0.001,19,0.887343976,0.001654128,189
717,tanh,adam,0.001,17,0.887319454,0.002670356,190
471,logistic,adam,1.00E-05,16,0.887294931,0.002763102,191
453,logistic,adam,0.0001,19,0.887147797,0.001317382,192
450,logistic,adam,0.0001,18,0.887049707,0.001965163,193
528,logistic,adam,1.00E-07,17,0.887000662,0.003232499,194
693,tanh,adam,0.01,18,0.887000662,0.002344939,194
1161,relu,adam,1.00E-09,12,0.887000662,0.007147015,194
696,tanh,adam,0.01,19,0.88687805,0.003230451,197
1131,relu,adam,1.00E-07,20,0.886804483,0.00344503,198
447,logistic,adam,0.0001,17,0.886706393,0.004989937,199
837,tanh,adam,1.00E-08,12,0.886632826,0.004764676,200
864,tanh,adam,1.00E-09,12,0.886632826,0.004764676,200
684,tanh,adam,0.01,15,0.886608303,0.003918834,202
711,tanh,adam,0.001,15,0.886608303,0.00251591,202
783,tanh,adam,1.00E-06,12,0.886608303,0.004789726,202
810,tanh,adam,1.00E-07,12,0.886608303,0.004789726,202
756,tanh,adam,1.00E-05,12,0.886583781,0.004756466,206
738,tanh,adam,0.0001,15,0.886485691,0.003776135,207
714,tanh,adam,0.001,16,0.886461169,0.003453398,208
712,tanh,lbfgs,0.001,15,0.886436646,0.02977899,209
741,tanh,adam,0.0001,16,0.886314034,0.003474751,210
826,tanh,lbfgs,1.00E-07,17,0.886314034,0.015628194,210
510,logistic,adam,1.00E-06,20,0.886289512,0.004716855,212
690,tanh,adam,0.01,17,0.886289512,0.003435066,212
768,tanh,adam,1.00E-05,16,0.886289512,0.003467474,212
795,tanh,adam,1.00E-06,16,0.886289512,0.003467474,212
822,tanh,adam,1.00E-07,16,0.886289512,0.003467474,212
849,tanh,adam,1.00E-08,16,0.886289512,0.003467474,212
876,tanh,adam,1.00E-09,16,0.886289512,0.003467474,212
537,logistic,adam,1.00E-07,20,0.886264989,0.004746467,219
564,logistic,adam,1.00E-08,20,0.886264989,0.004746467,219
591,logistic,adam,1.00E-09,20,0.886264989,0.004746467,219
996,relu,adam,0.01,20,0.886215944,0.005796533,222
702,tanh,adam,0.001,12,0.886191422,0.004236777,223
729,tanh,adam,0.0001,12,0.886191422,0.004407083,223
397,logistic,lbfgs,0.01,18,0.886044288,0.01365778,225
651,tanh,adam,0.1,13,0.886044288,0.003697442,225
391,logistic,lbfgs,0.01,16,0.88597072,0.010790759,227
916,relu,lbfgs,10,20,0.88597072,0.005322666,227
474,logistic,adam,1.00E-05,17,0.885946198,0.004927848,229
477,logistic,adam,1.00E-05,18,0.885946198,0.002549389,229
1092,relu,adam,1.00E-06,16,0.885848108,0.011086686,231
847,tanh,lbfgs,1.00E-08,15,0.885823586,0.029702479,232
874,tanh,lbfgs,1.00E-09,15,0.885799063,0.02504238,233
678,tanh,adam,0.01,13,0.885774541,0.00319564,234
456,logistic,adam,0.0001,20,0.885750018,0.0055895,235
390,logistic,adam,0.01,16,0.885676451,0.00244069,236
418,logistic,lbfgs,0.001,16,0.885651929,0.016981811,237
355,logistic,lbfgs,0.1,13,0.885627406,0.018384003,238
598,tanh,lbfgs,10,13,0.885602884,0.001141281,239
595,tanh,lbfgs,10,12,0.885578361,0.002480525,240
762,tanh,adam,1.00E-05,14,0.885504794,0.003284724,241
789,tanh,adam,1.00E-06,14,0.885504794,0.003284724,241
816,tanh,adam,1.00E-07,14,0.885504794,0.003284724,241
843,tanh,adam,1.00E-08,14,0.885504794,0.003284724,241
870,tanh,adam,1.00E-09,14,0.885504794,0.003284724,241
1069,relu,lbfgs,1.00E-05,17,0.885431227,0.045314948,246
813,tanh,adam,1.00E-07,13,0.885333137,0.002934301,247
840,tanh,adam,1.00E-08,13,0.885333137,0.002934301,247
867,tanh,adam,1.00E-09,13,0.885333137,0.002934301,247
786,tanh,adam,1.00E-06,13,0.885308615,0.002968936,250
699,tanh,adam,0.01,20,0.885284092,0.001737116,251
672,tanh,adam,0.1,20,0.88525957,0.004472638,252
687,tanh,adam,0.01,16,0.885235047,0.002134719,253
423,logistic,adam,0.001,18,0.885210525,0.001527099,254
759,tanh,adam,1.00E-05,13,0.885210525,0.002947796,254
681,tanh,adam,0.01,14,0.88506339,0.003126008,256
766,tanh,lbfgs,1.00E-05,15,0.88506339,0.028945792,256
1105,relu,lbfgs,1.00E-06,20,0.88506339,0.019150711,256
429,logistic,adam,0.001,20,0.885038868,0.001953192,259
732,tanh,adam,0.0001,13,0.884940778,0.002757219,260
1024,relu,lbfgs,0.001,20,0.884744599,0.013519887,261
483,logistic,adam,1.00E-05,20,0.884720077,0.00515006,262
895,relu,lbfgs,10,13,0.884597464,0.018744247,263
1036,relu,lbfgs,0.0001,15,0.88435224,0.034445202,264
1173,relu,adam,1.00E-09,16,0.884082493,0.008355708,265
708,tanh,adam,0.001,14,0.884008926,0.001922471,266
1050,relu,adam,0.0001,20,0.884008926,0.005540006,266
426,logistic,adam,0.001,19,0.883910836,0.001875605,268
1104,relu,adam,1.00E-06,20,0.883739179,0.007927384,269
705,tanh,adam,0.001,13,0.883690135,0.001021146,270
735,tanh,adam,0.0001,14,0.883592045,0.002103504,271
1029,relu,adam,0.0001,13,0.883592045,0.005539681,271
1146,relu,adam,1.00E-08,16,0.883592045,0.006170985,271
793,tanh,lbfgs,1.00E-06,15,0.883567522,0.027387082,274
676,tanh,lbfgs,0.01,12,0.883518478,0.04423779,275
484,logistic,lbfgs,1.00E-05,20,0.883493955,0.017193386,276
405,logistic,adam,0.001,12,0.883248731,0.005230007,277
820,tanh,lbfgs,1.00E-07,15,0.883224209,0.028364317,278
1164,relu,adam,1.00E-09,13,0.882537581,0.00474127,279
1042,relu,lbfgs,0.0001,17,0.882513058,0.021679849,280
1110,relu,adam,1.00E-07,13,0.882513058,0.004720169,280
1137,relu,adam,1.00E-08,13,0.882488536,0.004699229,282
1065,relu,adam,1.00E-05,16,0.882414968,0.00609154,283
997,relu,lbfgs,0.01,20,0.882390446,0.024241829,284
1021,relu,lbfgs,0.001,19,0.882390446,0.032894656,284
1119,relu,adam,1.00E-07,16,0.882316879,0.006178581,286
1056,relu,adam,1.00E-05,13,0.882267834,0.004518386,287
952,relu,lbfgs,0.1,14,0.882047132,0.026974646,288
745,tanh,lbfgs,0.0001,17,0.881850953,0.010681367,289
1038,relu,adam,0.0001,16,0.881777385,0.005747985,290
1114,relu,lbfgs,1.00E-07,14,0.881728341,0.024682476,291
975,relu,adam,0.01,13,0.881581206,0.005027875,292
652,tanh,lbfgs,0.1,13,0.881262414,0.021862812,293
1132,relu,lbfgs,1.00E-07,20,0.88121337,0.01739679,294
1153,relu,lbfgs,1.00E-08,18,0.881164325,0.006701311,295
1011,relu,adam,0.001,16,0.881139802,0.004745834,296
799,tanh,lbfgs,1.00E-06,17,0.880796488,0.013009187,297
969,relu,adam,0.1,20,0.880698399,0.002657489,298
516,logistic,adam,1.00E-07,13,0.880526742,0.007560626,299
543,logistic,adam,1.00E-08,13,0.880477697,0.007526507,300
570,logistic,adam,1.00E-09,13,0.880477697,0.007526507,300
435,logistic,adam,0.0001,13,0.880453174,0.008103317,302
928,relu,lbfgs,1,15,0.880428652,0.007612308,303
489,logistic,adam,1.00E-06,13,0.880330562,0.007556648,304
1002,relu,adam,0.001,13,0.880232473,0.007447392,305
970,relu,lbfgs,0.1,20,0.880036293,0.02616999,306
462,logistic,adam,1.00E-05,13,0.879889159,0.007963486,307
1128,relu,adam,1.00E-07,19,0.879889159,0.016813981,307
1074,relu,adam,1.00E-05,19,0.879864636,0.016932091,309
1182,relu,adam,1.00E-09,19,0.879840114,0.016783052,310
1033,relu,lbfgs,0.0001,14,0.879815591,0.012722437,311
1155,relu,adam,1.00E-08,19,0.879815591,0.016754004,311
1047,relu,adam,0.0001,19,0.879717502,0.016851029,313
1018,relu,lbfgs,0.001,18,0.879325143,0.00959131,314
1072,relu,lbfgs,1.00E-05,18,0.879227053,0.03709495,315
1020,relu,adam,0.001,19,0.879128963,0.017307239,316
1078,relu,lbfgs,1.00E-05,20,0.878859217,0.021680293,317
1101,relu,adam,1.00E-06,19,0.878736605,0.018387928,318
1162,relu,lbfgs,1.00E-09,12,0.87868756,0.030434869,319
385,logistic,lbfgs,0.01,14,0.878515903,0.023090387,320
508,logistic,lbfgs,1.00E-06,19,0.878246156,0.002965288,321
445,logistic,lbfgs,0.0001,16,0.878074499,0.013159338,322
838,tanh,lbfgs,1.00E-08,12,0.878074499,0.04398976,322
451,logistic,lbfgs,0.0001,18,0.877363349,0.02389778,324
934,relu,lbfgs,1,17,0.877167169,0.023682214,325
1003,relu,lbfgs,0.001,13,0.877093602,0.040626651,326
1117,relu,lbfgs,1.00E-07,15,0.877093602,0.006944567,326
1045,relu,lbfgs,0.0001,18,0.877044557,0.004676909,328
499,logistic,lbfgs,1.00E-06,16,0.8768729,0.012272047,329
1170,relu,adam,1.00E-09,15,0.876701243,0.007552987,330
1062,relu,adam,1.00E-05,15,0.876456019,0.007716814,331
1089,relu,adam,1.00E-06,15,0.876456019,0.007719152,331
1035,relu,adam,0.0001,15,0.876431497,0.007584767,333
1116,relu,adam,1.00E-07,15,0.876382452,0.007776664,334
1063,relu,lbfgs,1.00E-05,15,0.876308884,0.011706884,335
409,logistic,lbfgs,0.001,13,0.87616175,0.020540456,336
1099,relu,lbfgs,1.00E-06,18,0.876088183,0.004456474,337
709,tanh,lbfgs,0.001,14,0.875867481,0.033060523,338
1008,relu,adam,0.001,15,0.875793914,0.009614793,339
601,tanh,lbfgs,10,14,0.875695824,0.010947169,340
955,relu,lbfgs,0.1,15,0.875597734,0.011034111,341
984,relu,adam,0.01,16,0.875475122,0.00517882,342
1144,relu,lbfgs,1.00E-08,15,0.875327987,0.020118584,343
1014,relu,adam,0.001,17,0.875229898,0.012554093,344
964,relu,lbfgs,0.1,18,0.875058241,0.021337244,345
1149,relu,adam,1.00E-08,17,0.875033718,0.013617743,346
1122,relu,adam,1.00E-07,17,0.875009196,0.013607494,347
1176,relu,adam,1.00E-09,17,0.874984673,0.013597326,348
1041,relu,adam,0.0001,17,0.874813017,0.013514015,349
844,tanh,lbfgs,1.00E-08,14,0.874788494,0.03432784,350
382,logistic,lbfgs,0.01,13,0.874567792,0.018477058,351
910,relu,lbfgs,10,18,0.874494225,0.007150043,352
1143,relu,adam,1.00E-08,15,0.874469703,0.009512931,353
981,relu,adam,0.01,15,0.874371613,0.009078797,354
1159,relu,lbfgs,1.00E-08,20,0.874298046,0.017786891,355
649,tanh,lbfgs,0.1,12,0.874249001,0.021807235,356
811,tanh,lbfgs,1.00E-07,12,0.874077344,0.04122505,357
763,tanh,lbfgs,1.00E-05,14,0.874003776,0.033564976,358
553,logistic,lbfgs,1.00E-08,16,0.873881164,0.008813006,359
871,tanh,lbfgs,1.00E-09,14,0.873758552,0.033379931,360
703,tanh,lbfgs,0.001,12,0.87373403,0.041163782,361
1068,relu,adam,1.00E-05,17,0.87363594,0.015461657,362
1095,relu,adam,1.00E-06,17,0.87363594,0.015381524,362
730,tanh,lbfgs,0.0001,12,0.872973835,0.040733174,364
1009,relu,lbfgs,0.001,15,0.872973835,0.032161963,364
949,relu,lbfgs,0.1,13,0.872605998,0.008125179,366
790,tanh,lbfgs,1.00E-06,14,0.872581476,0.030398868,367
580,logistic,lbfgs,1.00E-09,16,0.872311729,0.001841959,368
993,relu,adam,0.01,19,0.872287207,0.009941296,369
865,tanh,lbfgs,1.00E-09,12,0.872041982,0.041375357,370
736,tanh,lbfgs,0.0001,14,0.871968415,0.030805535,371
517,logistic,lbfgs,1.00E-07,13,0.871625101,0.020209455,372
468,logistic,adam,1.00E-05,15,0.871159175,0.020977756,373
817,tanh,lbfgs,1.00E-07,14,0.871134653,0.031317336,374
441,logistic,adam,0.0001,15,0.87111013,0.021243244,375
1006,relu,lbfgs,0.001,14,0.871085608,0.00909706,376
784,tanh,lbfgs,1.00E-06,12,0.870864906,0.039806099,377
495,logistic,adam,1.00E-06,15,0.870717771,0.021012127,378
1087,relu,lbfgs,1.00E-06,14,0.870717771,0.017061935,378
526,logistic,lbfgs,1.00E-07,16,0.870595159,0.003280694,380
522,logistic,adam,1.00E-07,15,0.870080188,0.02065193,381
549,logistic,adam,1.00E-08,15,0.870031143,0.020617425,382
576,logistic,adam,1.00E-09,15,0.870031143,0.020617425,382
1180,relu,lbfgs,1.00E-09,18,0.869933054,0.018891469,384
472,logistic,lbfgs,1.00E-05,16,0.869761397,0.002919508,385
1168,relu,lbfgs,1.00E-09,14,0.869565217,0.023994213,386
1060,relu,lbfgs,1.00E-05,14,0.869467128,0.020327686,387
937,relu,lbfgs,1,18,0.869025724,0.029911972,388
961,relu,lbfgs,0.1,17,0.868952157,0.014084542,389
571,logistic,lbfgs,1.00E-09,13,0.868903112,0.020116851,390
990,relu,adam,0.01,18,0.868755977,0.023671369,391
478,logistic,lbfgs,1.00E-05,18,0.868731455,0.024851249,392
931,relu,lbfgs,1,16,0.868167439,0.009784356,393
954,relu,adam,0.1,15,0.868093872,0.004369673,394
505,logistic,lbfgs,1.00E-06,18,0.868069349,0.01833005,395
757,tanh,lbfgs,1.00E-05,12,0.867382721,0.036412772,396
1125,relu,adam,1.00E-07,18,0.867309154,0.027275927,397
987,relu,adam,0.01,17,0.867284632,0.022347264,398
1073,relu,sgd,1.00E-05,18,0.867260109,0.003632631,399
1181,relu,sgd,1.00E-09,18,0.867260109,0.003632631,399
1019,relu,sgd,0.001,18,0.867088452,0.003424546,401
1098,relu,adam,1.00E-06,18,0.867088452,0.027172552,401
1152,relu,adam,1.00E-08,18,0.86706393,0.027154996,403
1179,relu,adam,1.00E-09,18,0.86706393,0.027103194,403
1044,relu,adam,0.0001,18,0.867039408,0.027294176,405
992,relu,sgd,0.01,18,0.867014885,0.003656392,406
436,logistic,lbfgs,0.0001,13,0.86696584,0.002924447,407
1100,relu,sgd,1.00E-06,18,0.866892273,0.002947796,408
1154,relu,sgd,1.00E-08,18,0.866794183,0.003086515,409
1046,relu,sgd,0.0001,18,0.866622526,0.003123506,410
1071,relu,adam,1.00E-05,18,0.866573481,0.027848581,411
1127,relu,sgd,1.00E-07,18,0.866377302,0.003419274,412
1090,relu,lbfgs,1.00E-06,15,0.86625469,0.017062005,413
986,relu,sgd,0.01,16,0.866181123,0.013733784,414
513,logistic,adam,1.00E-07,12,0.865862331,0.020953663,415
540,logistic,adam,1.00E-08,12,0.865862331,0.020953663,415
567,logistic,adam,1.00E-09,12,0.865862331,0.020953663,415
486,logistic,adam,1.00E-06,12,0.865764241,0.021041127,418
459,logistic,adam,1.00E-05,12,0.865617107,0.020831566,419
432,logistic,adam,0.0001,12,0.865494495,0.020623025,420
1135,relu,lbfgs,1.00E-08,12,0.86534736,0.025222981,421
463,logistic,lbfgs,1.00E-05,13,0.865273793,0.021966154,422
978,relu,adam,0.01,14,0.8647343,0.018591848,423
988,relu,lbfgs,0.01,17,0.8647343,0.009729502,423
907,relu,lbfgs,10,17,0.864660732,0.013215017,425
948,relu,adam,0.1,13,0.864611687,0.002586622,426
679,tanh,lbfgs,0.01,13,0.864390986,0.020958828,427
1005,relu,adam,0.001,14,0.864194806,0.032618163,428
654,tanh,adam,0.1,14,0.863974104,0.03111632,429
1013,relu,sgd,0.001,16,0.863900537,0.017743089,430
1067,relu,sgd,1.00E-05,16,0.863900537,0.017743089,430
1094,relu,sgd,1.00E-06,16,0.863900537,0.017743089,430
1121,relu,sgd,1.00E-07,16,0.863900537,0.017743089,430
1148,relu,sgd,1.00E-08,16,0.863900537,0.017743089,430
1175,relu,sgd,1.00E-09,16,0.863900537,0.017743089,430
1040,relu,sgd,0.0001,16,0.863876015,0.01772644,436
