,param_activation,param_solver,param_alpha,param_hidden_layer_sizes,mean_test_score,std_test_score,rank_test_score
915,relu,adam,10,20,0.668702028,0.007375423,844
894,relu,adam,10,13,0.666813801,0.002990731,845
909,relu,adam,10,18,0.666715712,0.004813772,846
620,tanh,sgd,10,20,0.666593099,0.002018301,847
614,tanh,sgd,10,18,0.666078128,0.002224929,848
906,relu,adam,10,17,0.665955516,0.011031222,849
603,tanh,adam,10,15,0.665930994,0.001849453,850
905,relu,sgd,10,16,0.665930994,0.002301453,850
606,tanh,adam,10,16,0.665808382,0.001162166,852
597,tanh,adam,10,13,0.66568577,0.002218704,853
615,tanh,adam,10,19,0.665293411,0.002806077,854
599,tanh,sgd,10,13,0.665244366,0.002838676,855
611,tanh,sgd,10,17,0.665072709,0.002977027,856
899,relu,sgd,10,14,0.664950097,0.001857564,857
618,tanh,adam,10,20,0.664827485,0.004626362,858
617,tanh,sgd,10,19,0.664631305,0.002001547,859
608,tanh,sgd,10,16,0.664361559,0.002091462,860
596,tanh,sgd,10,12,0.664337036,0.002144275,861
602,tanh,sgd,10,14,0.663993722,0.0022032,862
896,relu,sgd,10,13,0.663895633,0.002216263,863
908,relu,sgd,10,17,0.663699453,0.001918713,864
605,tanh,sgd,10,15,0.662988303,0.00239593,865
594,tanh,adam,10,12,0.662595944,0.004844405,866
903,relu,adam,10,16,0.66235072,0.006146085,867
917,relu,sgd,10,20,0.660339881,0.002241892,868
911,relu,sgd,10,18,0.65972682,0.001375444,869
902,relu,sgd,10,15,0.65881949,0.001192809,870
891,relu,adam,10,12,0.655925844,0.002990731,871
893,relu,sgd,10,12,0.655288261,0.001882645,872
914,relu,sgd,10,19,0.653522646,0.000592611,873
323,logistic,sgd,10,20,0.584026092,0.018912785,874
299,logistic,sgd,10,12,0.53184237,0.012993508,875
305,logistic,sgd,10,14,0.51597636,0.050191733,876
320,logistic,sgd,10,19,0.511684936,0.061665861,877
302,logistic,sgd,10,13,0.498737095,0.016347761,878
21,identity,adam,10,19,0.484342431,0.006285687,879
317,logistic,sgd,10,18,0.481963756,0.019705993,880
308,logistic,sgd,10,15,0.480198141,0.033477144,881
18,identity,adam,10,18,0.479977439,0.016593005,882
315,logistic,adam,10,18,0.479143677,0.054942625,883
312,logistic,adam,10,17,0.474239192,0.070406032,884
303,logistic,adam,10,14,0.466293926,0.040019171,885
23,identity,sgd,10,19,0.464847103,0.008865866,886
311,logistic,sgd,10,16,0.463719071,0.025516453,887
17,identity,sgd,10,17,0.463253145,0.002943304,888
26,identity,sgd,10,20,0.461928934,0.005092996,889
5,identity,sgd,10,13,0.461266829,0.007315661,890
8,identity,sgd,10,14,0.459623826,0.019150335,891
14,identity,sgd,10,16,0.459010765,0.005092051,892
9,identity,adam,10,15,0.45825057,0.013545305,893
314,logistic,sgd,10,17,0.45825057,0.01270664,893
12,identity,adam,10,16,0.457907256,0.023562236,895
2,identity,sgd,10,12,0.456999926,0.010681367,896
11,identity,sgd,10,15,0.456779225,0.014462661,897
102,identity,adam,0.01,19,0.455675715,0.010857261,898
129,identity,adam,0.001,19,0.455651193,0.010913829,899
156,identity,adam,0.0001,19,0.455626671,0.010915482,900
183,identity,adam,1.00E-05,19,0.455602148,0.010917245,901
210,identity,adam,1.00E-06,19,0.455602148,0.010917245,901
237,identity,adam,1.00E-07,19,0.455602148,0.010917245,901
264,identity,adam,1.00E-08,19,0.455602148,0.010917245,901
291,identity,adam,1.00E-09,19,0.455602148,0.010917245,901
318,logistic,adam,10,19,0.45501361,0.050158426,906
42,identity,adam,1,17,0.454792908,0.012669957,907
63,identity,adam,0.1,15,0.454351504,0.015044583,908
51,identity,adam,1,20,0.45329704,0.006954951,909
6,identity,adam,10,14,0.452806592,0.028886064,910
20,identity,sgd,10,18,0.452733024,0.019580232,911
69,identity,adam,0.1,17,0.452316143,0.011991592,912
33,identity,adam,1,14,0.451874739,0.009668493,913
48,identity,adam,1,19,0.451801172,0.014035271,914
3,identity,adam,10,13,0.451433336,0.031506517,915
93,identity,adam,0.01,16,0.448883004,0.007974352,916
120,identity,adam,0.001,16,0.448858481,0.007998748,917
147,identity,adam,0.0001,16,0.448858481,0.007998748,917
174,identity,adam,1.00E-05,16,0.448858481,0.007998748,917
201,identity,adam,1.00E-06,16,0.448858481,0.007998748,917
228,identity,adam,1.00E-07,16,0.448858481,0.007998748,917
255,identity,adam,1.00E-08,16,0.448858481,0.007998748,917
282,identity,adam,1.00E-09,16,0.448858481,0.007998748,917
159,identity,adam,0.0001,20,0.446553373,0.01229711,924
186,identity,adam,1.00E-05,20,0.446553373,0.01229711,924
213,identity,adam,1.00E-06,20,0.446553373,0.01229711,924
240,identity,adam,1.00E-07,20,0.446553373,0.01229711,924
267,identity,adam,1.00E-08,20,0.446553373,0.01229711,924
294,identity,adam,1.00E-09,20,0.446553373,0.01229711,924
105,identity,adam,0.01,20,0.446528851,0.012360519,930
132,identity,adam,0.001,20,0.446528851,0.01226793,930
78,identity,adam,0.1,20,0.445474386,0.013888485,932
30,identity,adam,1,13,0.444616101,0.00451599,933
300,logistic,adam,10,13,0.444272787,0.052556118,934
36,identity,adam,1,15,0.444125653,0.008115997,935
60,identity,adam,0.1,14,0.443414503,0.00342981,936
75,identity,adam,0.1,19,0.443340935,0.010124228,937
15,identity,adam,10,17,0.443144756,0.025695407,938
62,identity,sgd,0.1,14,0.442752397,0.001841959,939
89,identity,sgd,0.01,14,0.442752397,0.001841959,939
116,identity,sgd,0.001,14,0.442752397,0.001841959,939
143,identity,sgd,0.0001,14,0.442752397,0.001841959,939
170,identity,sgd,1.00E-05,14,0.442752397,0.001841959,939
197,identity,sgd,1.00E-06,14,0.442752397,0.001841959,939
224,identity,sgd,1.00E-07,14,0.442752397,0.001841959,939
251,identity,sgd,1.00E-08,14,0.442752397,0.001841959,939
278,identity,sgd,1.00E-09,14,0.442752397,0.001841959,939
87,identity,adam,0.01,14,0.442384561,0.003651948,948
114,identity,adam,0.001,14,0.442384561,0.003700043,948
141,identity,adam,0.0001,14,0.442384561,0.003700043,948
168,identity,adam,1.00E-05,14,0.442384561,0.003700043,948
195,identity,adam,1.00E-06,14,0.442384561,0.003700043,948
222,identity,adam,1.00E-07,14,0.442384561,0.003700043,948
249,identity,adam,1.00E-08,14,0.442384561,0.003700043,948
276,identity,adam,1.00E-09,14,0.442384561,0.003700043,948
27,identity,adam,1,12,0.442139336,0.002253129,956
125,identity,sgd,0.001,17,0.442065769,0.000938283,957
152,identity,sgd,0.0001,17,0.442065769,0.000938283,957
179,identity,sgd,1.00E-05,17,0.442065769,0.000938283,957
206,identity,sgd,1.00E-06,17,0.442065769,0.000938283,957
233,identity,sgd,1.00E-07,17,0.442065769,0.000938283,957
260,identity,sgd,1.00E-08,17,0.442065769,0.000938283,957
287,identity,sgd,1.00E-09,17,0.442065769,0.000938283,957
71,identity,sgd,0.1,17,0.442041247,0.000828698,964
98,identity,sgd,0.01,17,0.441992202,0.000896998,965
309,logistic,adam,10,16,0.4417715,0.046658863,966
101,identity,sgd,0.01,18,0.441746978,0.003906847,967
128,identity,sgd,0.001,18,0.441746978,0.003906847,967
155,identity,sgd,0.0001,18,0.441746978,0.003906847,967
182,identity,sgd,1.00E-05,18,0.441746978,0.003906847,967
209,identity,sgd,1.00E-06,18,0.441746978,0.003906847,967
236,identity,sgd,1.00E-07,18,0.441746978,0.003906847,967
263,identity,sgd,1.00E-08,18,0.441746978,0.003906847,967
290,identity,sgd,1.00E-09,18,0.441746978,0.003906847,967
65,identity,sgd,0.1,15,0.44167341,0.001498479,975
74,identity,sgd,0.1,18,0.44167341,0.003644036,975
96,identity,adam,0.01,17,0.441599843,0.002395428,977
92,identity,sgd,0.01,15,0.441452709,0.000783951,978
119,identity,sgd,0.001,15,0.441452709,0.000783951,978
146,identity,sgd,0.0001,15,0.441452709,0.000783951,978
173,identity,sgd,1.00E-05,15,0.441452709,0.000783951,978
200,identity,sgd,1.00E-06,15,0.441452709,0.000783951,978
227,identity,sgd,1.00E-07,15,0.441452709,0.000783951,978
254,identity,sgd,1.00E-08,15,0.441452709,0.000783951,978
281,identity,sgd,1.00E-09,15,0.441452709,0.000783951,978
28,identity,lbfgs,1,12,0.441428186,0.000833041,986
40,identity,lbfgs,1,16,0.441428186,0.000817741,986
43,identity,lbfgs,1,17,0.441428186,0.000833041,986
49,identity,lbfgs,1,19,0.441428186,0.000833041,986
52,identity,lbfgs,1,20,0.441428186,0.000875282,986
55,identity,lbfgs,0.1,12,0.441428186,0.000833041,986
58,identity,lbfgs,0.1,13,0.441428186,0.000875282,986
67,identity,lbfgs,0.1,16,0.441428186,0.000817741,986
70,identity,lbfgs,0.1,17,0.441428186,0.000833041,986
82,identity,lbfgs,0.01,12,0.441428186,0.000833041,986
85,identity,lbfgs,0.01,13,0.441428186,0.000875282,986
94,identity,lbfgs,0.01,16,0.441428186,0.000817741,986
97,identity,lbfgs,0.01,17,0.441428186,0.000833041,986
109,identity,lbfgs,0.001,12,0.441428186,0.000833041,986
112,identity,lbfgs,0.001,13,0.441428186,0.000875282,986
121,identity,lbfgs,0.001,16,0.441428186,0.000817741,986
124,identity,lbfgs,0.001,17,0.441428186,0.000833041,986
136,identity,lbfgs,0.0001,12,0.441428186,0.000833041,986
139,identity,lbfgs,0.0001,13,0.441428186,0.000875282,986
148,identity,lbfgs,0.0001,16,0.441428186,0.000817741,986
151,identity,lbfgs,0.0001,17,0.441428186,0.000833041,986
163,identity,lbfgs,1.00E-05,12,0.441428186,0.000833041,986
166,identity,lbfgs,1.00E-05,13,0.441428186,0.000875282,986
175,identity,lbfgs,1.00E-05,16,0.441428186,0.000817741,986
